Gene_ID,logFC,logCPM,LR,PValue,FDR
ENSRNOG00000011120,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000015308,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000036726,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000037695,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000047512,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000051925,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000053624,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000060719,-1.351055625,-3.380604046,1.005060636,0.316089073,0.77267001
ENSRNOG00000019122,-0.087436484,7.361734604,1.004939261,0.316118296,0.772684005
ENSRNOG00000006144,-0.774509167,-2.57287456,1.004701319,0.316175594,0.772766617
ENSRNOG00000048989,0.097629643,5.161300446,1.003065843,0.316569799,0.773555927
ENSRNOG00000059439,-0.466498331,-1.170416665,1.003016153,0.316581786,0.773555927
ENSRNOG00000027502,0.143114157,2.834215075,1.002976525,0.316591346,0.773555927
ENSRNOG00000032394,0.15089937,3.180573898,1.002817676,0.316629672,0.773555927
ENSRNOG00000052096,-0.138130068,3.608413387,1.002612361,0.316679217,0.773555927
ENSRNOG00000046294,-1.348723704,-3.380098648,1.001961334,0.316836388,0.773555927
ENSRNOG00000047347,-1.348723704,-3.380098648,1.001961334,0.316836388,0.773555927
ENSRNOG00000004410,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000010259,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000017872,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000028864,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000053516,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000056730,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000057286,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000057519,-1.348622977,-3.380660273,1.001899146,0.316851406,0.773555927
ENSRNOG00000022745,-0.106122887,4.472492974,1.001253721,0.317007334,0.773879151
ENSRNOG00000000846,-0.96939785,-2.987434743,1.000897969,0.317093323,0.774031605
ENSRNOG00000042404,-0.197672196,1.445481999,1.000729237,0.317134118,0.774073724
ENSRNOG00000024641,0.297064301,0.097310519,1.000328903,0.317230936,0.774252569
ENSRNOG00000023494,-0.101833633,4.319659003,1.000157712,0.317272349,0.774296175
ENSRNOG00000027503,0.092998761,7.233749215,0.999711546,0.317380315,0.774502182
ENSRNOG00000002540,-0.686115948,-1.824988306,0.999498066,0.317431992,0.774528231
ENSRNOG00000006391,0.096136792,7.007699982,0.999472843,0.317438098,0.774528231
ENSRNOG00000014937,-1.346280801,-3.380154893,0.998789403,0.317603614,0.774702148
ENSRNOG00000018724,-1.346280801,-3.380154893,0.998789403,0.317603614,0.774702148
ENSRNOG00000051784,-1.346280801,-3.380154893,0.998789403,0.317603614,0.774702148
ENSRNOG00000054181,-1.346280801,-3.380154893,0.998789403,0.317603614,0.774702148
ENSRNOG00000056826,0.585433219,-2.132899662,0.998434836,0.317689528,0.774854232
ENSRNOG00000010240,0.245836218,0.673590266,0.99802196,0.317789609,0.775010306
ENSRNOG00000013552,0.140740317,9.426384362,0.997976399,0.317800656,0.775010306
ENSRNOG00000047361,-1.345437932,-3.380729973,0.997826463,0.317837012,0.775041489
ENSRNOG00000011865,0.120766954,3.982903155,0.997479803,0.317921091,0.775167807
ENSRNOG00000024870,-0.416808239,-0.807975218,0.997418505,0.317935961,0.775167807
ENSRNOG00000059518,-0.505791763,-1.681664358,0.995706222,0.318351712,0.776123913
ENSRNOG00000005052,-0.087637089,6.390578259,0.995440094,0.318416393,0.776224053
ENSRNOG00000060312,0.433604043,-1.403322558,0.995108632,0.318496977,0.776362943
ENSRNOG00000031743,-0.108783938,9.062659522,0.994960072,0.318533104,0.776383684
ENSRNOG00000006090,-1.343010859,-3.380786195,0.994685333,0.318599928,0.776383684
ENSRNOG00000012115,-1.343010859,-3.380786195,0.994685333,0.318599928,0.776383684
ENSRNOG00000056426,-1.343010859,-3.380786195,0.994685333,0.318599928,0.776383684
ENSRNOG00000028526,-0.284158829,-0.064931019,0.994189983,0.318720458,0.776619846
ENSRNOG00000056526,0.173468542,1.88424597,0.994037208,0.318757643,0.776638734
ENSRNOG00000026323,-0.328932765,0.710247891,0.993964076,0.318775446,0.776638734
ENSRNOG00000058057,-0.113451317,5.22122218,0.99237808,0.319161845,0.777438238
